,zip,walkscore,state,county,area_codes,country,latitude,longitude,irs_estimated_population
11278,27006,1,NC,Davie County,"336, 743",US,35.93,-80.4,14560
11279,27007,0,NC,Surry County,"336, 743",US,36.4,-80.56,1870
11280,27009,0,NC,Forsyth County,"336, 743",US,36.25,-80.06,2600
11282,27011,1,NC,Yadkin County,"336, 743",US,36.23,-80.7,4830
11283,27012,1,NC,Forsyth County,"336, 743",US,36.02,-80.38,28860
11284,27013,0,NC,Rowan County,"336, 704, 743, 980",US,35.73,-80.67,5750
11286,27016,0,NC,Stokes County,"336, 743",US,36.45,-80.22,1380
11287,27017,0,NC,Surry County,"336, 743",US,36.39,-80.72,7570
11288,27018,0,NC,Yadkin County,"336, 743",US,36.21,-80.5,6640
11289,27019,1,NC,Stokes County,"336, 743",US,36.26,-80.23,3390
11290,27020,3,NC,Yadkin County,"336, 704, 743, 980",US,36.11,-80.81,5300
11291,27021,0,NC,Stokes County,"336, 743",US,36.27,-80.35,15270
11292,27022,0,NC,Stokes County,"276, 336, 743",US,36.51,-80.22,1210
11293,27023,7,NC,Forsyth County,"336, 743",US,36.09,-80.4,13020
11294,27024,0,NC,Surry County,"276, 336, 743",US,36.52,-80.84,2040
11295,27025,0,NC,Rockingham County,"336, 743",US,36.38,-79.97,9190
11296,27027,0,NC,Rockingham County,"336, 743",US,36.41,-79.97,3160
11297,27028,0,NC,Davie County,"336, 704, 743, 980",US,35.89,-80.55,23650
11298,27030,31,NC,Surry County,"276, 336, 743",US,36.5,-80.61,30130
11300,27040,0,NC,Forsyth County,"336, 743",US,36.17,-80.39,12200
11301,27041,0,NC,Surry County,"336, 743",US,36.38,-80.47,6840
11302,27042,0,NC,Stokes County,"336, 743",US,36.35,-80.06,600
11303,27043,13,NC,Stokes County,"336, 743",US,36.33,-80.4,5470
11304,27045,12,NC,Forsyth County,"336, 743",US,36.23,-80.29,9170
11305,27046,0,NC,Stokes County,"276, 336, 743",US,36.5,-80.11,1630
11306,27047,0,NC,Surry County,"336, 743",US,36.32,-80.57,1010
11307,27048,0,NC,Rockingham County,"276, 336, 743",US,36.46,-79.9,6890
11309,27050,0,NC,Forsyth County,"336, 743",US,36.23,-80.39,3570
11310,27051,3,NC,Forsyth County,"336, 743",US,36.17,-80.15,7720
11311,27052,0,NC,Stokes County,"336, 743",US,36.29,-80.13,8520
11312,27053,5,NC,Stokes County,"276, 336, 743",US,36.47,-80.35,2660
11313,27054,0,NC,Rowan County,"336, 704, 743, 980",US,35.76,-80.59,2440
11314,27055,10,NC,Yadkin County,"336, 704, 743, 980",US,36.13,-80.65,12470
11318,27101,2,NC,Forsyth County,"336, 743",US,36.1,-80.24,15210
11320,27103,27,NC,Forsyth County,"336, 743",US,36.06,-80.32,30880
11321,27104,21,NC,Forsyth County,"336, 743",US,36.1,-80.32,27290
11322,27105,9,NC,Forsyth County,"336, 743",US,36.16,-80.23,32900
11323,27106,19,NC,Forsyth County,"336, 743",US,36.14,-80.32,42180
11324,27107,4,NC,Forsyth County,"336, 743",US,36.01,-80.18,43640
11326,27109,29,NC,Forsyth County,"336, 743",US,36.13,-80.28,73
11335,27127,7,NC,Forsyth County,"336, 743",US,36.02,-80.28,35000
11347,27203,1,NC,Randolph County,"336, 743",US,35.71,-79.81,17700
11349,27205,3,NC,Randolph County,"336, 472, 743, 910",US,35.65,-79.84,29190
11350,27207,2,NC,Chatham County,"336, 472, 743, 910, 919, 984",US,35.6,-79.36,3200
11351,27208,0,NC,Chatham County,"336, 472, 743, 910, 919, 984",US,35.57,-79.52,1490
11352,27209,1,NC,Montgomery County,"472, 910",US,35.36,-79.78,3840
11353,27212,0,NC,Caswell County,"336, 743",US,36.51,-79.28,1220
11355,27214,5,NC,Guilford County,"336, 743",US,36.21,-79.67,11570
11356,27215,0,NC,Alamance County,"336, 743",US,36.08,-79.44,39330
11358,27217,0,NC,Alamance County,"336, 743, 919, 984",US,36.19,-79.38,33790
11361,27229,0,NC,Montgomery County,"472, 910",US,35.29,-79.74,3480
11363,27231,0,NC,Orange County,"336, 743, 919, 984",US,36.2,-79.17,1840
11364,27233,0,NC,Randolph County,"336, 743",US,35.89,-79.71,3090
11365,27235,0,NC,Guilford County,"336, 743",US,36.09,-80.01,5440
11367,27239,0,NC,Davidson County,"336, 704, 743, 980",US,35.63,-80.11,7860
11368,27242,0,NC,Moore County,"472, 910",US,35.3,-79.65,1560
11369,27243,0,NC,Orange County,"919, 984",US,36.06,-79.17,4380
11370,27244,0,NC,Alamance County,"336, 743",US,36.09,-79.51,10290
11372,27248,0,NC,Randolph County,"336, 743",US,35.74,-79.69,3750
11373,27249,0,NC,Guilford County,"336, 743",US,36.1,-79.54,12180
11374,27252,0,NC,Chatham County,"336, 472, 743, 910, 919, 984",US,35.59,-79.32,1500
11375,27253,8,NC,Alamance County,"336, 743, 919, 984",US,36.06,-79.39,28170
11377,27258,0,NC,Alamance County,"336, 743, 919, 984",US,36.09,-79.36,6650
11379,27260,27,NC,Guilford County,"336, 743",US,35.95,-79.99,19860
11381,27262,10,NC,Guilford County,"336, 743",US,35.96,-80.04,19190
11382,27263,2,NC,Randolph County,"336, 743",US,35.91,-79.94,18690
11384,27265,3,NC,Guilford County,"336, 743",US,35.98,-79.99,47290
11386,27278,12,NC,Orange County,"919, 984",US,36.07,-79.1,26940
11387,27281,0,NC,Moore County,"472, 910",US,35.19,-79.64,2650
11388,27282,14,NC,Guilford County,"336, 743",US,35.99,-79.93,15150
11389,27283,0,NC,Guilford County,"336, 743",US,35.95,-79.63,2860
11390,27284,21,NC,Forsyth County,"336, 743",US,36.11,-80.07,52070
11392,27288,56,NC,Rockingham County,"276, 336, 434, 743",US,36.5,-79.74,18380
11394,27291,3,NC,Caswell County,"336, 743",US,36.4,-79.16,1290
11395,27292,7,NC,Davidson County,"336, 704, 743, 980",US,35.8,-80.25,32940
11398,27295,5,NC,Davidson County,"336, 743",US,35.87,-80.31,34800
11399,27298,0,NC,Randolph County,"336, 743, 919, 984",US,35.85,-79.57,9520
11400,27299,0,NC,Davidson County,"336, 704, 743, 980",US,35.75,-80.39,4740
11401,27301,3,NC,Guilford County,"336, 743",US,36.1,-79.66,9800
